Date, Close/Last, Volume, Open, High, Low
11/11/2019, $208.18, 6094736, $207.75, $209.11, $204.2801
11/08/2019, $207.78, 4735187, $207.66, $209.05, $206.15
11/07/2019, $208.34, 7008498, $211.106, $211.7, $206.54
11/06/2019, $207.63, 6725335, $208.64, $209.67, $204.11
11/05/2019, $209.61, 7521712, $210.49, $211.54, $207.68
11/04/2019, $210.5, 9417905, $205.85, $211, $204.9203
11/01/2019, $202.59, 7090956, $199.6, $203.89, $198.5925
10/31/2019, $201.02, 5243315, $202.16, $203, $197.81
10/30/2019, $203, 5149038, $204, $204.23, $200.26
10/29/2019, $202.92, 5280920, $206.23, $206.49, $202.14
10/28/2019, $206.79, 8269791, $206.3, $208.9, $205.1168
10/25/2019, $204.54, 10577290, $200.1, $205.3804, $199.79
10/24/2019, $196.86, 5975933, $196.75, $198.21, $195.38
10/23/2019, $195.09, 7144250, $192.31, $195.66, $191.03
10/22/2019, $195.61, 8434228, $198.3, $202.53, $195.3
10/21/2019, $196.01, 6674181, $192.96, $196.55, $192.2
10/18/2019, $190.49, 7690605, $194.31, $195.62, $187.5
10/17/2019, $194.29, 6607924, $196, $197.8143, $192.1
10/16/2019, $194.21, 10818830, $195, $199.22, $193.75
10/15/2019, $196.37, 16699630, $190.16, $199.29, $189.6
10/14/2019, $186.53, 5258394, $185.64, $187.37, $184.385
10/11/2019, $185.99, 11271670, $186.41, $189.34, $185.65
10/10/2019, $183.03, 8187889, $180.62, $185.08, $180.41
10/09/2019, $180.71, 7697082, $180.32, $182.7, $179.1601
10/08/2019, $177.23, 11233570, $180.64, $180.64, $176.5
10/07/2019, $184.33, 12207840, $184.58, $188.34, $184.23
10/04/2019, $181.97, 6699005, $181.4, $183.15, $178.78
10/03/2019, $181.31, 11568270, $173.22, $181.56, $172
10/02/2019, $173.04, 7391544, $173.12, $173.6, $170.13
10/01/2019, $174, 9189150, $175, $181, $173.81
09/30/2019, $174.07, 4829977, $172.8, $174.48, $171.5401
09/27/2019, $171.76, 9148974, $175.66, $177.7, $169.32
09/26/2019, $177.34, 5945648, $177.84, $178.19, $175.29
09/25/2019, $178.23, 7827672, $172.51, $179.02, $170.71
09/24/2019, $172.53, 8031045, $176.1, $177.29, $171.1
09/23/2019, $174.84, 6395647, $172.7, $176.67, $172.55
09/20/2019, $172.69, 8931295, $176.9, $177.85, $172.28
09/19/2019, $176.94, 6408569, $180.22, $180.96, $176.5101
09/18/2019, $179.98, 6600942, $180.79, $181.42, $176.5
09/17/2019, $181.07, 5711828, $180.48, $181.2356, $178.61
09/16/2019, $180.21, 5795796, $178.92, $181.6, $178.5
09/13/2019, $181.94, 8114787, $181.59, $183.08, $180.18
09/12/2019, $184.27, 8196025, $186.2, $188.4, $183.95
09/11/2019, $184.33, 9037782, $183.77, $186.27, $182.6006
09/10/2019, $183.18, 8820305, $179.18, $184.25, $178.79
09/09/2019, $180.5, 10438130, $179.9, $183.98, $179.84
09/06/2019, $178.65, 9424419, $178.8, $181.09, $177.12
09/05/2019, $179.74, 17412130, $172.865, $179.99, $172.8
09/04/2019, $168.76, 5703009, $166.61, $169.06, $166.61
09/03/2019, $164.17, 7412770, $164.58, $165.91, $163.252
08/30/2019, $167.51, 7272712, $168.86, $170.86, $166.78
08/29/2019, $167, 8959326, $164.9, $168.3, $164.76
08/28/2019, $161.22, 6395703, $160.58, $163.34, $159
08/27/2019, $161.8, 7288739, $166.99, $167.1, $160.62
08/26/2019, $165.45, 7964854, $165.61, $166.58, $163.91
08/23/2019, $162.44, 14237430, $168.4, $170.59, $161.64
08/22/2019, $171.48, 7593918, $171.62, $173.33, $169.9045
08/21/2019, $171.23, 10697770, $170.53, $173.45, $169.66
08/20/2019, $167.87, 11588040, $170.56, $170.58, $167.02
08/19/2019, $170.78, 20408060, $164.12, $171.42, $163.47
